Queries, Number of Overlapping Results, Percent Overlap, Spearman Coefficient
Query 1, 3, 0.3, -2.5
Query 2, 0, 0.0, 0
Query 3, 2, 0.2, -28.0
Query 4, 5, 0.5, -2.45
Query 5, 4, 0.4, -9.2
Query 6, 2, 0.2, -17.0
Query 7, 0, 0.0, 0
Query 8, 0, 0.0, 0
Query 9, 1, 0.1, 0
Query 10, 1, 0.1, 0
Query 11, 2, 0.2, -12.0
Query 12, 3, 0.3, 1.0
Query 13, 4, 0.4, -4.2
Query 14, 2, 0.2, -36.0
Query 15, 5, 0.5, -0.25
Query 16, 3, 0.3, -2.5
Query 17, 3, 0.3, -19.0
Query 18, 1, 0.1, 0
Query 19, 2, 0.2, -52.0
Query 20, 4, 0.4, -0.19999999999999996
Query 21, 2, 0.2, -99.0
Query 22, 3, 0.3, -14.5
Query 23, 5, 0.5, -0.10000000000000009
Query 24, 0, 0.0, 0
Query 25, 4, 0.4, -7.199999999999999
Query 26, 3, 0.3, -3.5
Query 27, 4, 0.4, -4.6
Query 28, 0, 0.0, 0
Query 29, 0, 0.0, 0
Query 30, 4, 0.4, -6.0
Query 31, 0, 0.0, 0
Query 32, 1, 0.1, 0
Query 33, 3, 0.3, -0.5
Query 34, 3, 0.3, -5.75
Query 35, 2, 0.2, -12.0
Query 36, 2, 0.2, -25.0
Query 37, 6, 0.6, 0.0
Query 38, 5, 0.5, -0.3999999999999999
Query 39, 4, 0.4, -1.2999999999999998
Query 40, 4, 0.4, -1.6
Query 41, 1, 0.1, 0
Query 42, 2, 0.2, -24.0
Query 43, 1, 0.1, 0
Query 44, 2, 0.2, -24.0
Query 45, 3, 0.3, -19.75
Query 46, 3, 0.3, -2.5
Query 47, 5, 0.5, -2.35
Query 48, 0, 0.0, 0
Query 49, 3, 0.3, -5.25
Query 50, 4, 0.4, -5.6
Query 51, 3, 0.3, -7.75
Query 52, 5, 0.5, -0.7
Query 53, 2, 0.2, -51.0
Query 54, 2, 0.2, -9.0
Query 55, 3, 0.3, -1.25
Query 56, 1, 0.1, 1
Query 57, 3, 0.3, -4.25
Query 58, 2, 0.2, -8.0
Query 59, 2, 0.2, -12.0
Query 60, 3, 0.3, -1.5
Query 61, 4, 0.4, -0.7
Query 62, 4, 0.4, -2.4
Query 63, 1, 0.1, 0
Query 64, 0, 0.0, 0
Query 65, 0, 0.0, 0
Query 66, 1, 0.1, 0
Query 67, 1, 0.1, 0
Query 68, 4, 0.4, -2.5
Query 69, 2, 0.2, -49.0
Query 70, 3, 0.3, -3.25
Query 71, 3, 0.3, -0.25
Query 72, 2, 0.2, -12.0
Query 73, 3, 0.3, 0.25
Query 74, 3, 0.3, -2.25
Query 75, 1, 0.1, 0
Query 76, 1, 0.1, 0
Query 77, 1, 0.1, 0
Query 78, 3, 0.3, 0.75
Query 79, 1, 0.1, 0
Query 80, 3, 0.3, -4.5
Query 81, 1, 0.1, 0
Query 82, 4, 0.4, -6.0
Query 83, 6, 0.6, -1.7999999999999998
Query 84, 1, 0.1, 0
Query 85, 2, 0.2, -1.0
Query 86, 3, 0.3, -1.25
Query 87, 1, 0.1, 1
Query 88, 5, 0.5, -3.5
Query 89, 3, 0.3, -1.75
Query 90, 4, 0.4, -0.19999999999999996
Query 91, 2, 0.2, -1.0
Query 92, 3, 0.3, -2.5
Query 93, 2, 0.2, -15.0
Query 94, 5, 0.5, -1.15
Query 95, 0, 0.0, 0
Query 96, 0, 0.0, 0
Query 97, 1, 0.1, 0
Query 98, 3, 0.3, -2.5
Query 99, 4, 0.4, 0.4
Query 100, 5, 0.5, -2.1
Averages, 2.4799999999999995, 0.24800000000000016, -6.578500000000001
